TA Ancillary File,,,
Date:,2/14/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2118.1,,
Certified CRM Salinity:,31.789,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL09a_03,22.1,31.789,50
RSA_285,22.1,32.6959,100
RSA_286,22.1,32.6644,100
RSA_287,22.1,32.881,100
RSA_288,22.1,32.6397,100
RSA_289,22.1,32.6397,100
RSA_290,22.1,32.8831,100
RSA_291,22.1,32.6736,100
RSA_292,22.1,32.5868,100
RSA_293,22.1,32.5868,100
RSA_294,22.1,32.6248,100
ESL09a_03,22.1,31.789,50
